,case:concept:name,concept:name,org:resource,time:timestamp,start time,seriousness,customer,product,seriousness_2,service_level,service_type,workgroup
14250,Case 3049,Resolve ticket,Value 15,2006-12-05 00:00:00+00:00,25:51.0,Value 1,Value 22,Value 1,Value 1,Value 2,Value 1,Value 1
14249,Case 3049,Take in charge ticket,Value 8,2006-12-05 00:00:00+00:00,43:38.0,Value 1,Value 22,Value 1,Value 1,Value 2,Value 1,Value 1
14248,Case 3049,Resolve ticket,Value 8,2006-12-05 00:00:00+00:00,40:05.0,Value 1,Value 22,Value 1,Value 1,Value 2,Value 1,Value 1
14247,Case 3049,Take in charge ticket,Value 8,2006-12-05 00:00:00+00:00,39:55.0,Value 1,Value 22,Value 1,Value 1,Value 2,Value 1,Value 1
14246,Case 3049,Wait,Value 8,2006-12-05 00:00:00+00:00,09:46.0,Value 1,Value 22,Value 1,Value 1,Value 2,Value 1,Value 1
14245,Case 3049,Take in charge ticket,Value 8,2006-12-05 00:00:00+00:00,07:12.0,Value 1,Value 22,Value 1,Value 1,Value 2,Value 1,Value 1
14244,Case 3049,Assign seriousness,Value 8,2006-12-05 00:00:00+00:00,06:55.0,Value 1,Value 22,Value 1,Value 1,Value 2,Value 1,Value 1
14243,Case 3048,Closed,Value 5,2006-12-05 00:00:00+00:00,50:58.0,Value 1,Value 17,Value 1,Value 1,Value 2,Value 1,Value 1
14242,Case 3048,Resolve ticket,Value 15,2006-12-05 00:00:00+00:00,09:08.0,Value 1,Value 17,Value 1,Value 1,Value 2,Value 1,Value 1
14241,Case 3048,Resolve ticket,Value 15,2006-12-05 00:00:00+00:00,08:56.0,Value 1,Value 17,Value 1,Value 1,Value 2,Value 1,Value 1
14240,Case 3048,Take in charge ticket,Value 13,2006-12-05 00:00:00+00:00,30:49.0,Value 1,Value 17,Value 1,Value 1,Value 2,Value 1,Value 1
14239,Case 3048,Assign seriousness,Value 13,2006-12-05 00:00:00+00:00,41:41.0,Value 1,Value 17,Value 1,Value 1,Value 2,Value 1,Value 1
14238,Case 3047,Closed,Value 5,2006-12-05 00:00:00+00:00,20:23.0,Value 1,Value 204,Value 2,Value 1,Value 2,Value 1,Value 1
14237,Case 3047,Resolve ticket,Value 13,2006-12-05 00:00:00+00:00,34:42.0,Value 1,Value 204,Value 2,Value 1,Value 2,Value 1,Value 1
14191,Case 3037,Take in charge ticket,Value 2,2006-12-05 00:00:00+00:00,11:03.0,Value 1,Value 73,Value 1,Value 1,Value 3,Value 1,Value 1
14190,Case 3037,Assign seriousness,Value 1,2006-12-05 00:00:00+00:00,00:23.0,Value 1,Value 73,Value 1,Value 1,Value 3,Value 1,Value 1
14189,Case 3036,Closed,Value 5,2006-12-05 00:00:00+00:00,08:22.0,Value 1,Value 44,Value 3,Value 2,Value 2,Value 1,Value 1
14188,Case 3036,Resolve ticket,Value 2,2006-12-05 00:00:00+00:00,07:53.0,Value 1,Value 44,Value 3,Value 2,Value 2,Value 1,Value 1
14187,Case 3036,Take in charge ticket,Value 2,2006-12-05 00:00:00+00:00,02:42.0,Value 1,Value 44,Value 3,Value 2,Value 2,Value 1,Value 1
14186,Case 3036,Resolve ticket,Value 2,2006-12-05 00:00:00+00:00,34:49.0,Value 1,Value 44,Value 3,Value 2,Value 2,Value 1,Value 1
14185,Case 3036,Take in charge ticket,Value 2,2006-12-05 00:00:00+00:00,55:55.0,Value 1,Value 44,Value 3,Value 2,Value 2,Value 1,Value 1
14184,Case 3036,Assign seriousness,Value 8,2006-12-05 00:00:00+00:00,12:29.0,Value 1,Value 44,Value 3,Value 2,Value 2,Value 1,Value 1
14179,Case 3034,Closed,Value 3,2006-12-05 00:00:00+00:00,22:31.0,Value 1,Value 46,Value 1,Value 1,Value 2,Value 1,Value 1
14178,Case 3034,Resolve ticket,Value 9,2006-12-05 00:00:00+00:00,22:11.0,Value 1,Value 46,Value 1,Value 1,Value 2,Value 1,Value 1
14177,Case 3034,Wait,Value 9,2006-12-05 00:00:00+00:00,28:16.0,Value 1,Value 46,Value 1,Value 1,Value 2,Value 1,Value 1
14176,Case 3034,Take in charge ticket,Value 9,2006-12-05 00:00:00+00:00,53:58.0,Value 1,Value 46,Value 1,Value 1,Value 2,Value 1,Value 1
14175,Case 3034,Assign seriousness,Value 1,2006-12-05 00:00:00+00:00,23:50.0,Value 1,Value 46,Value 1,Value 1,Value 2,Value 1,Value 1
14192,Case 3037,Wait,Value 9,2006-12-05 00:00:00+00:00,38:35.0,Value 1,Value 73,Value 1,Value 1,Value 3,Value 1,Value 1
14254,Case 3050,Take in charge ticket,Value 2,2006-12-05 00:00:00+00:00,47:44.0,Value 1,Value 200,Value 3,Value 2,Value 2,Value 1,Value 1
14193,Case 3037,Resolve ticket,Value 9,2006-12-05 00:00:00+00:00,23:48.0,Value 1,Value 73,Value 1,Value 1,Value 3,Value 1,Value 1
14195,Case 3038,Assign seriousness,Value 18,2006-12-05 00:00:00+00:00,47:24.0,Value 1,Value 60,Value 1,Value 1,Value 2,Value 1,Value 1
14201,Case 3038,Closed,Value 3,2006-12-05 00:00:00+00:00,17:28.0,Value 1,Value 60,Value 1,Value 1,Value 2,Value 1,Value 1
14200,Case 3038,Resolve ticket,Value 9,2006-12-05 00:00:00+00:00,17:12.0,Value 1,Value 60,Value 1,Value 1,Value 2,Value 1,Value 1
14199,Case 3038,Wait,Value 9,2006-12-05 00:00:00+00:00,53:50.0,Value 1,Value 60,Value 1,Value 1,Value 2,Value 1,Value 1
14198,Case 3038,Take in charge ticket,Value 9,2006-12-05 00:00:00+00:00,13:11.0,Value 1,Value 60,Value 1,Value 1,Value 2,Value 1,Value 1
14197,Case 3038,Wait,Value 9,2006-12-05 00:00:00+00:00,12:50.0,Value 1,Value 60,Value 1,Value 1,Value 2,Value 1,Value 1
14196,Case 3038,Take in charge ticket,Value 9,2006-12-05 00:00:00+00:00,52:38.0,Value 1,Value 60,Value 1,Value 1,Value 2,Value 1,Value 1
14194,Case 3037,Closed,Value 3,2006-12-05 00:00:00+00:00,24:02.0,Value 1,Value 73,Value 1,Value 1,Value 3,Value 1,Value 1
14174,Case 3033,Closed,Value 5,2006-12-05 00:00:00+00:00,51:31.0,Value 1,Value 101,Value 1,Value 2,Value 1,Value 1,Value 1
14255,Case 3050,Wait,Value 7,2006-12-05 00:00:00+00:00,04:44.0,Value 1,Value 200,Value 3,Value 2,Value 2,Value 1,Value 1
14257,Case 3050,Resolve ticket,Value 7,2006-12-05 00:00:00+00:00,31:04.0,Value 1,Value 200,Value 3,Value 2,Value 2,Value 1,Value 1
14315,Case 3062,Take in charge ticket,Value 1,2006-12-05 00:00:00+00:00,23:02.0,Value 1,Value 11,Value 2,Value 1,Value 2,Value 1,Value 1
14314,Case 3062,Assign seriousness,Value 1,2006-12-05 00:00:00+00:00,20:19.0,Value 1,Value 11,Value 2,Value 1,Value 2,Value 1,Value 1
14313,Case 3061,Closed,Value 3,2006-12-05 00:00:00+00:00,40:00.0,Value 1,Value 18,Value 1,Value 1,Value 2,Value 1,Value 1
14312,Case 3061,Resolve ticket,Value 2,2006-12-05 00:00:00+00:00,39:45.0,Value 1,Value 18,Value 1,Value 1,Value 2,Value 1,Value 1
14311,Case 3061,Require upgrade,Value 2,2006-12-05 00:00:00+00:00,29:55.0,Value 1,Value 18,Value 1,Value 1,Value 2,Value 1,Value 1
14310,Case 3061,Take in charge ticket,Value 2,2006-12-05 00:00:00+00:00,21:53.0,Value 1,Value 18,Value 1,Value 1,Value 2,Value 1,Value 1
14309,Case 3061,Assign seriousness,Value 18,2006-12-05 00:00:00+00:00,44:21.0,Value 1,Value 18,Value 1,Value 1,Value 2,Value 1,Value 1
14316,Case 3062,Resolve ticket,Value 1,2006-12-05 00:00:00+00:00,16:16.0,Value 1,Value 11,Value 2,Value 1,Value 2,Value 1,Value 1
14308,Case 3060,Closed,Value 5,2006-12-05 00:00:00+00:00,10:33.0,Value 1,Value 234,Value 1,Value 1,Value 2,Value 1,Value 1
14306,Case 3060,Take in charge ticket,Value 2,2006-12-05 00:00:00+00:00,43:04.0,Value 1,Value 234,Value 1,Value 1,Value 2,Value 1,Value 1
14305,Case 3060,Assign seriousness,Value 1,2006-12-05 00:00:00+00:00,08:18.0,Value 1,Value 234,Value 1,Value 1,Value 2,Value 1,Value 1
14307,Case 3060,Resolve ticket,Value 2,2006-12-05 00:00:00+00:00,31:42.0,Value 1,Value 234,Value 1,Value 1,Value 2,Value 1,Value 1
14317,Case 3062,Resolve ticket,Value 1,2006-12-05 00:00:00+00:00,16:17.0,Value 1,Value 11,Value 2,Value 1,Value 2,Value 1,Value 1
14318,Case 3062,Closed,Value 5,2006-12-05 00:00:00+00:00,31:31.0,Value 1,Value 11,Value 2,Value 1,Value 2,Value 1,Value 1
14319,Case 3063,Assign seriousness,Value 8,2006-12-05 00:00:00+00:00,12:14.0,Value 1,Value 9,Value 3,Value 2,Value 2,Value 2,Value 2
14322,Case 3063,Closed,Value 5,2006-12-05 00:00:00+00:00,20:27.0,Value 1,Value 9,Value 3,Value 2,Value 2,Value 2,Value 2
14321,Case 3063,Resolve ticket,Value 6,2006-12-05 00:00:00+00:00,27:51.0,Value 1,Value 9,Value 3,Value 2,Value 2,Value 2,Value 2
14320,Case 3063,Take in charge ticket,Value 6,2006-12-05 00:00:00+00:00,01:39.0,Value 1,Value 9,Value 3,Value 2,Value 2,Value 2,Value 2
14299,Case 3058,Closed,Value 3,2006-12-05 00:00:00+00:00,37:22.0,Value 1,Value 106,Value 1,Value 1,Value 1,Value 1,Value 1
14298,Case 3058,Resolve ticket,Value 9,2006-12-05 00:00:00+00:00,38:45.0,Value 1,Value 106,Value 1,Value 1,Value 1,Value 1,Value 1
14297,Case 3058,Resolve ticket,Value 9,2006-12-05 00:00:00+00:00,37:04.0,Value 1,Value 106,Value 1,Value 1,Value 1,Value 1,Value 1
14296,Case 3058,Require upgrade,Value 4,2006-12-05 00:00:00+00:00,07:52.0,Value 1,Value 106,Value 1,Value 1,Value 1,Value 1,Value 1
14273,Case 3053,Closed,Value 5,2006-12-05 00:00:00+00:00,29:49.0,Value 1,Value 185,Value 2,Value 1,Value 3,Value 1,Value 1
14272,Case 3053,Resolve ticket,Value 13,2006-12-05 00:00:00+00:00,29:33.0,Value 1,Value 185,Value 2,Value 1,Value 3,Value 1,Value 1
14271,Case 3053,Take in charge ticket,Value 13,2006-12-05 00:00:00+00:00,26:30.0,Value 1,Value 185,Value 2,Value 1,Value 3,Value 1,Value 1
14270,Case 3053,Resolve ticket,Value 13,2006-12-05 00:00:00+00:00,57:05.0,Value 1,Value 185,Value 2,Value 1,Value 3,Value 1,Value 1
14269,Case 3053,Assign seriousness,Value 2,2006-12-05 00:00:00+00:00,51:50.0,Value 1,Value 185,Value 2,Value 1,Value 3,Value 1,Value 1
14264,Case 3051,Closed,Value 5,2006-12-05 00:00:00+00:00,40:25.0,Value 1,Value 107,Value 3,Value 1,Value 2,Value 1,Value 1
14263,Case 3051,Resolve ticket,Value 2,2006-12-05 00:00:00+00:00,22:28.0,Value 1,Value 107,Value 3,Value 1,Value 2,Value 1,Value 1
14262,Case 3051,Take in charge ticket,Value 2,2006-12-05 00:00:00+00:00,22:19.0,Value 1,Value 107,Value 3,Value 1,Value 2,Value 1,Value 1
14261,Case 3051,Wait,Value 2,2006-12-05 00:00:00+00:00,48:56.0,Value 1,Value 107,Value 3,Value 1,Value 2,Value 1,Value 1
14260,Case 3051,Take in charge ticket,Value 2,2006-12-05 00:00:00+00:00,59:31.0,Value 1,Value 107,Value 3,Value 1,Value 2,Value 1,Value 1
14259,Case 3051,Assign seriousness,Value 2,2006-12-05 00:00:00+00:00,59:00.0,Value 1,Value 107,Value 3,Value 1,Value 2,Value 1,Value 1
14258,Case 3050,Closed,Value 5,2006-12-05 00:00:00+00:00,00:33.0,Value 1,Value 200,Value 3,Value 2,Value 2,Value 1,Value 1
14256,Case 3050,Take in charge ticket,Value 7,2006-12-05 00:00:00+00:00,21:21.0,Value 1,Value 200,Value 3,Value 2,Value 2,Value 1,Value 1
14295,Case 3058,Take in charge ticket,Value 2,2006-12-05 00:00:00+00:00,16:40.0,Value 1,Value 106,Value 1,Value 1,Value 1,Value 1,Value 1
14294,Case 3058,Assign seriousness,Value 14,2006-12-05 00:00:00+00:00,22:18.0,Value 1,Value 106,Value 1,Value 1,Value 1,Value 1,Value 1
14173,Case 3033,Resolve ticket,Value 13,2006-12-05 00:00:00+00:00,59:42.0,Value 1,Value 101,Value 1,Value 2,Value 1,Value 1,Value 1
14172,Case 3033,Take in charge ticket,Value 13,2006-12-05 00:00:00+00:00,57:39.0,Value 1,Value 101,Value 1,Value 2,Value 1,Value 1,Value 1
14171,Case 3033,Assign seriousness,Value 8,2006-12-05 00:00:00+00:00,44:27.0,Value 1,Value 101,Value 1,Value 2,Value 1,Value 1,Value 1
14065,Case 3010,Wait,Value 1,2006-12-05 00:00:00+00:00,48:26.0,Value 1,Value 3,Value 4,Value 1,Value 2,Value 1,Value 1
14064,Case 3010,Take in charge ticket,Value 1,2006-12-05 00:00:00+00:00,55:10.0,Value 1,Value 3,Value 4,Value 1,Value 2,Value 1,Value 1
14063,Case 3010,Assign seriousness,Value 1,2006-12-05 00:00:00+00:00,54:09.0,Value 1,Value 3,Value 4,Value 1,Value 2,Value 1,Value 1
14066,Case 3010,Resolve ticket,Value 1,2006-12-05 00:00:00+00:00,26:12.0,Value 1,Value 3,Value 4,Value 1,Value 2,Value 1,Value 1
14052,Case 3007,Closed,Value 5,2006-12-05 00:00:00+00:00,10:45.0,Value 1,Value 62,Value 1,Value 4,Value 1,Value 1,Value 1
14051,Case 3007,Resolve ticket,Value 1,2006-12-05 00:00:00+00:00,20:30.0,Value 1,Value 62,Value 1,Value 4,Value 1,Value 1,Value 1
14050,Case 3007,Resolve ticket,Value 1,2006-12-05 00:00:00+00:00,20:30.0,Value 1,Value 62,Value 1,Value 4,Value 1,Value 1,Value 1
14067,Case 3010,Closed,Value 3,2006-12-05 00:00:00+00:00,26:30.0,Value 1,Value 3,Value 4,Value 1,Value 2,Value 1,Value 1
14086,Case 3014,Resolve ticket,Value 1,2006-12-05 00:00:00+00:00,12:15.0,Value 1,Value 60,Value 1,Value 4,Value 2,Value 1,Value 1
14085,Case 3014,Assign seriousness,Value 2,2006-12-05 00:00:00+00:00,44:43.0,Value 1,Value 60,Value 1,Value 4,Value 2,Value 1,Value 1
14084,Case 3013,Closed,Value 3,2006-12-05 00:00:00+00:00,03:58.0,Value 1,Value 20,Value 1,Value 1,Value 2,Value 1,Value 1
14083,Case 3013,Resolve ticket,Value 2,2006-12-05 00:00:00+00:00,03:46.0,Value 1,Value 20,Value 1,Value 1,Value 2,Value 1,Value 1
14082,Case 3013,Wait,Value 2,2006-12-05 00:00:00+00:00,10:46.0,Value 1,Value 20,Value 1,Value 1,Value 2,Value 1,Value 1
14081,Case 3013,Take in charge ticket,Value 2,2006-12-05 00:00:00+00:00,32:55.0,Value 1,Value 20,Value 1,Value 1,Value 2,Value 1,Value 1
14080,Case 3013,Take in charge ticket,Value 20,2006-12-05 00:00:00+00:00,44:00.0,Value 1,Value 20,Value 1,Value 1,Value 2,Value 1,Value 1
14079,Case 3013,Assign seriousness,Value 18,2006-12-05 00:00:00+00:00,31:34.0,Value 1,Value 20,Value 1,Value 1,Value 2,Value 1,Value 1
14049,Case 3007,Assign seriousness,Value 1,2006-12-05 00:00:00+00:00,05:05.0,Value 1,Value 62,Value 1,Value 4,Value 1,Value 1,Value 1
14024,Case 3001,Take in charge ticket,Value 2,2006-12-05 00:00:00+00:00,16:04.0,Value 1,Value 208,Value 3,Value 1,Value 2,Value 1,Value 1
14023,Case 3001,Assign seriousness,Value 2,2006-12-05 00:00:00+00:00,15:42.0,Value 1,Value 208,Value 3,Value 1,Value 2,Value 1,Value 1
14022,Case 3001,Assign seriousness,Value 2,2006-12-05 00:00:00+00:00,36:39.0,Value 1,Value 208,Value 3,Value 1,Value 2,Value 1,Value 1
14025,Case 3001,Resolve ticket,Value 2,2006-12-05 00:00:00+00:00,16:31.0,Value 1,Value 208,Value 3,Value 1,Value 2,Value 1,Value 1
14087,Case 3014,Resolve ticket,Value 1,2006-12-05 00:00:00+00:00,12:16.0,Value 1,Value 60,Value 1,Value 4,Value 2,Value 1,Value 1
14026,Case 3001,Closed,Value 5,2006-12-05 00:00:00+00:00,16:45.0,Value 1,Value 208,Value 3,Value 1,Value 2,Value 1,Value 1
14028,Case 3002,Take in charge ticket,Value 1,2006-12-05 00:00:00+00:00,43:37.0,Value 1,Value 9,Value 1,Value 1,Value 3,Value 1,Value 1
14040,Case 3004,Closed,Value 5,2006-12-05 00:00:00+00:00,56:46.0,Value 1,Value 86,Value 3,Value 2,Value 2,Value 1,Value 1
14039,Case 3004,Resolve ticket,Value 2,2006-12-05 00:00:00+00:00,56:30.0,Value 1,Value 86,Value 3,Value 2,Value 2,Value 1,Value 1
14038,Case 3004,Resolve ticket,Value 2,2006-12-05 00:00:00+00:00,56:30.0,Value 1,Value 86,Value 3,Value 2,Value 2,Value 1,Value 1
14037,Case 3004,Take in charge ticket,Value 2,2006-12-05 00:00:00+00:00,56:18.0,Value 1,Value 86,Value 3,Value 2,Value 2,Value 1,Value 1
14036,Case 3004,Assign seriousness,Value 2,2006-12-05 00:00:00+00:00,56:14.0,Value 1,Value 86,Value 3,Value 2,Value 2,Value 1,Value 1
14035,Case 3004,Assign seriousness,Value 2,2006-12-05 00:00:00+00:00,01:13.0,Value 1,Value 86,Value 3,Value 2,Value 2,Value 1,Value 1
14030,Case 3002,Closed,Value 5,2006-12-05 00:00:00+00:00,40:43.0,Value 1,Value 9,Value 1,Value 1,Value 3,Value 1,Value 1
14029,Case 3002,Resolve ticket,Value 1,2006-12-05 00:00:00+00:00,27:10.0,Value 1,Value 9,Value 1,Value 1,Value 3,Value 1,Value 1
14027,Case 3002,Assign seriousness,Value 1,2006-12-05 00:00:00+00:00,32:34.0,Value 1,Value 9,Value 1,Value 1,Value 3,Value 1,Value 1
14088,Case 3014,Closed,Value 5,2006-12-05 00:00:00+00:00,51:01.0,Value 1,Value 60,Value 1,Value 4,Value 2,Value 1,Value 1
14149,Case 3029,Assign seriousness,Value 1,2006-12-05 00:00:00+00:00,54:04.0,Value 1,Value 227,Value 2,Value 2,Value 2,Value 1,Value 1
14148,Case 3028,Closed,Value 5,2006-12-05 00:00:00+00:00,30:47.0,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2
14147,Case 3028,Resolve ticket,Value 11,2006-12-05 00:00:00+00:00,38:35.0,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2
14146,Case 3028,Take in charge ticket,Value 11,2006-12-05 00:00:00+00:00,38:16.0,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2
14145,Case 3028,Wait,Value 11,2006-12-05 00:00:00+00:00,30:50.0,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2
14144,Case 3028,Take in charge ticket,Value 11,2006-12-05 00:00:00+00:00,32:43.0,Value 1,Value 9,Value 3,Value 1,Value 2,Value 2,Value 2
14143,Case 3028,Take in charge ticket,Value 11,2006-12-05 00:00:00+00:00,12:04.0,Value 1,Value 9,Value 3,Value 2,Value 2,Value 2,Value 2
14142,Case 3028,Assign seriousness,Value 1,2006-12-05 00:00:00+00:00,24:21.0,Value 1,Value 9,Value 3,Value 2,Value 2,Value 2,Value 2
14137,Case 3026,Closed,Value 5,2006-12-05 00:00:00+00:00,10:21.0,Value 1,Value 18,Value 1,Value 1,Value 2,Value 1,Value 1
14136,Case 3026,Resolve ticket,Value 1,2006-12-05 00:00:00+00:00,21:41.0,Value 1,Value 18,Value 1,Value 1,Value 2,Value 1,Value 1
14135,Case 3026,Assign seriousness,Value 1,2006-12-05 00:00:00+00:00,09:16.0,Value 1,Value 18,Value 1,Value 1,Value 2,Value 1,Value 1
14150,Case 3029,Take in charge ticket,Value 1,2006-12-05 00:00:00+00:00,44:15.0,Value 1,Value 227,Value 2,Value 2,Value 2,Value 1,Value 1
14151,Case 3029,Resolve ticket,Value 1,2006-12-05 00:00:00+00:00,26:53.0,Value 1,Value 227,Value 2,Value 2,Value 2,Value 1,Value 1
14153,Case 3030,Assign seriousness,Value 2,2006-12-05 00:00:00+00:00,02:04.0,Value 1,Value 150,Value 3,Value 1,Value 3,Value 1,Value 1
14170,Case 3033,Assign seriousness,Value 8,2006-12-05 00:00:00+00:00,44:10.0,Value 1,Value 101,Value 1,Value 2,Value 1,Value 1,Value 1
14165,Case 3031,Closed,Value 5,2006-12-05 00:00:00+00:00,50:40.0,Value 1,Value 66,Value 3,Value 2,Value 2,Value 1,Value 1
14164,Case 3031,Resolve ticket,Value 14,2006-12-05 00:00:00+00:00,30:29.0,Value 1,Value 66,Value 3,Value 2,Value 2,Value 1,Value 1
14163,Case 3031,Take in charge ticket,Value 2,2006-12-05 00:00:00+00:00,10:37.0,Value 1,Value 66,Value 3,Value 2,Value 2,Value 1,Value 1
14162,Case 3031,Assign seriousness,Value 2,2006-12-05 00:00:00+00:00,10:15.0,Value 1,Value 66,Value 3,Value 2,Value 2,Value 1,Value 1
14161,Case 3031,Assign seriousness,Value 2,2006-12-05 00:00:00+00:00,10:05.0,Value 1,Value 66,Value 3,Value 2,Value 2,Value 1,Value 1
14160,Case 3031,Assign seriousness,Value 14,2006-12-05 00:00:00+00:00,47:25.0,Value 1,Value 66,Value 3,Value 2,Value 2,Value 1,Value 1
14159,Case 3031,Insert ticket,Value 14,2006-12-05 00:00:00+00:00,47:02.0,Value 1,Value 66,Value 3,Value 2,Value 2,Value 1,Value 1
14158,Case 3030,Closed,Value 5,2006-12-05 00:00:00+00:00,01:12.0,Value 1,Value 150,Value 3,Value 1,Value 3,Value 1,Value 1
14157,Case 3030,Resolve ticket,Value 2,2006-12-05 00:00:00+00:00,35:21.0,Value 1,Value 150,Value 3,Value 1,Value 3,Value 1,Value 1
14156,Case 3030,Take in charge ticket,Value 2,2006-12-05 00:00:00+00:00,34:48.0,Value 1,Value 150,Value 3,Value 1,Value 3,Value 1,Value 1
14155,Case 3030,Wait,Value 2,2006-12-05 00:00:00+00:00,47:04.0,Value 1,Value 150,Value 3,Value 1,Value 3,Value 1,Value 1
14154,Case 3030,Take in charge ticket,Value 2,2006-12-05 00:00:00+00:00,46:36.0,Value 1,Value 150,Value 3,Value 1,Value 3,Value 1,Value 1
14152,Case 3029,Closed,Value 5,2006-12-05 00:00:00+00:00,00:35.0,Value 1,Value 227,Value 2,Value 2,Value 2,Value 1,Value 1
14129,Case 3024,Resolve ticket,Value 1,2006-12-05 00:00:00+00:00,35:00.0,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1
14130,Case 3024,Closed,Value 5,2006-12-05 00:00:00+00:00,41:02.0,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1
14128,Case 3024,Assign seriousness,Value 1,2006-12-05 00:00:00+00:00,33:20.0,Value 1,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1
14123,Case 3022,Closed,Value 5,2006-12-05 00:00:00+00:00,30:16.0,Value 1,Value 13,Value 1,Value 1,Value 3,Value 1,Value 1
14122,Case 3022,Resolve ticket,Value 13,2006-12-05 00:00:00+00:00,28:45.0,Value 1,Value 13,Value 1,Value 1,Value 3,Value 1,Value 1
14121,Case 3022,Wait,Value 13,2006-12-05 00:00:00+00:00,43:44.0,Value 1,Value 13,Value 1,Value 1,Value 3,Value 1,Value 1
14120,Case 3022,Take in charge ticket,Value 1,2006-12-05 00:00:00+00:00,42:25.0,Value 1,Value 13,Value 1,Value 1,Value 3,Value 1,Value 1
14560,Case 3114,Closed,Value 5,2006-12-05 00:00:00+00:00,00:33.0,Value 1,Value 322,Value 3,Value 2,Value 2,Value 1,Value 1
14559,Case 3114,Resolve ticket,Value 7,2006-12-05 00:00:00+00:00,01:00.0,Value 1,Value 322,Value 3,Value 2,Value 2,Value 1,Value 1
14558,Case 3114,Take in charge ticket,Value 7,2006-12-05 00:00:00+00:00,00:49.0,Value 1,Value 322,Value 3,Value 2,Value 2,Value 1,Value 1
14556,Case 3114,Take in charge ticket,Value 2,2006-12-05 00:00:00+00:00,44:58.0,Value 1,Value 322,Value 3,Value 2,Value 2,Value 1,Value 1
14555,Case 3114,Take in charge ticket,Value 2,2006-12-05 00:00:00+00:00,43:23.0,Value 1,Value 322,Value 3,Value 2,Value 2,Value 1,Value 1
14554,Case 3114,Assign seriousness,Value 9,2006-12-05 00:00:00+00:00,58:25.0,Value 1,Value 322,Value 3,Value 2,Value 2,Value 1,Value 1
14557,Case 3114,Wait,Value 7,2006-12-05 00:00:00+00:00,01:51.0,Value 1,Value 322,Value 3,Value 2,Value 2,Value 1,Value 1
14586,Case 3119,Closed,Value 5,2006-12-05 00:00:00+00:00,11:52.0,Value 1,Value 8,Value 3,Value 2,Value 2,Value 2,Value 2
14585,Case 3119,Resolve ticket,Value 16,2006-12-05 00:00:00+00:00,39:08.0,Value 1,Value 8,Value 3,Value 2,Value 2,Value 2,Value 2
14584,Case 3119,Take in charge ticket,Value 16,2006-12-05 00:00:00+00:00,39:15.0,Value 1,Value 8,Value 3,Value 2,Value 2,Value 2,Value 2
14583,Case 3119,Assign seriousness,Value 12,2006-12-05 00:00:00+00:00,09:37.0,Value 1,Value 8,Value 3,Value 2,Value 2,Value 2,Value 2
14582,Case 3119,Assign seriousness,Value 12,2006-12-05 00:00:00+00:00,09:37.0,Value 1,Value 8,Value 3,Value 2,Value 2,Value 2,Value 2
