org:resource,case:concept:name,concept:name,time:timestamp,seriousness,customer,product,seriousness_2,service_level,service_type,workgroup,paymentAmount,points,totalPaymentAmount,vehicleClass
,A43678,Payment,2009-11-30 00:00:00+01:00,,,,,,complete,,51.5,,51.5,
560,A17768,Create Fine,2007-07-15 00:00:00+02:00,22,7,NIL,,,complete,,,0,0,A
,A17768,Send Fine,2007-10-31 00:00:00+01:00,,,,13,,complete,,,,,
538,N38118,Create Fine,2001-10-22 00:00:00+02:00,32.8,157,NIL,,,complete,,,0,0,A
,N38118,Send Fine,2001-11-24 00:00:00+01:00,,,,6.71,,complete,,,,,
,N38118,Insert Fine Notification,2002-01-02 00:00:00+01:00,,,,,N,complete,P,,,,
,N38118,Add penalty,2002-03-03 00:00:00+01:00,65.6,,,,,complete,,,,,
,N38118,Send for Credit Collection,2003-01-10 00:00:00+01:00,,,,,,complete,,,,,
24,S127586,Create Fine,2009-08-15 00:00:00+02:00,38,157,NIL,,,complete,,,0,0,A
,S127586,Payment,2009-08-17 00:00:00+02:00,,,,,,complete,,38,,38,
30,S60775,Create Fine,2001-07-26 00:00:00+02:00,65.6,41,A,,,complete,,,0,0,A
,S60775,Send Fine,2001-10-18 00:00:00+02:00,,,,6.71,,complete,,,,,
848,S138518,Create Fine,2009-06-20 00:00:00+02:00,38,157,NIL,,,complete,,,0,0,A
,S138518,Send Fine,2009-09-18 00:00:00+02:00,,,,13.5,,complete,,,,,
,S138518,Insert Fine Notification,2009-10-08 00:00:00+02:00,,,,,P,complete,P,,,,
,S138518,Add penalty,2009-12-07 00:00:00+01:00,77.5,,,,,complete,,,,,
,S138518,Send for Credit Collection,2012-03-26 00:00:00+02:00,,,,,,complete,,,,,
820,C13687,Create Fine,2001-07-09 00:00:00+02:00,32.8,7,NIL,,,complete,,,0,0,M
,C13687,Send Fine,2001-07-09 00:00:00+02:00,,,,0,,complete,,,,,
,C13687,Insert Fine Notification,2001-07-09 00:00:00+02:00,,,,,N,complete,P,,,,
,C13687,Add penalty,2001-09-07 00:00:00+02:00,65.6,,,,,complete,,,,,
,C13687,Send for Credit Collection,2003-01-10 00:00:00+01:00,,,,,,complete,,,,,
833,S71489,Create Fine,2002-06-06 00:00:00+02:00,65,158,NIL,,,complete,,,0,0,A
,S71489,Send Fine,2002-09-05 00:00:00+02:00,,,,10,,complete,,,,,
,S71489,Insert Fine Notification,2002-09-11 00:00:00+02:00,,,,,N,complete,P,,,,
,S71489,Add penalty,2002-11-10 00:00:00+01:00,131,,,,,complete,,,,,
,S71489,Send for Credit Collection,2004-01-10 00:00:00+01:00,,,,,,complete,,,,,
559,P5172,Create Fine,2012-08-25 00:00:00+02:00,24,7,NIL,,,complete,,,0,0,A
,P5172,Send Fine,2013-02-06 00:00:00+01:00,,,,30,,complete,,,,,
839,S67541,Create Fine,2001-08-05 00:00:00+02:00,32.8,7,NIL,,,complete,,,0,0,A
,S67541,Send Fine,2001-11-09 00:00:00+01:00,,,,6.71,,complete,,,,,
,S67541,Payment,2001-12-14 00:00:00+01:00,,,,,,complete,,39.51,,39.51,
858,S157468,Create Fine,2010-07-31 00:00:00+02:00,23,181,NIL,,,complete,,,0,0,A
,S157468,Payment,2010-08-17 00:00:00+02:00,,,,,,complete,,23,,23,
49,S100992,Create Fine,2005-02-01 00:00:00+01:00,35,7,NIL,,,complete,,,0,0,A
,S100992,Send Fine,2005-06-10 00:00:00+02:00,,,,16.6,,complete,,,,,
,S100992,Insert Fine Notification,2005-06-30 00:00:00+02:00,,,,,P,complete,P,,,,
,S100992,Payment,2005-08-09 00:00:00+02:00,,,,,,complete,,46,,46,
,S100992,Add penalty,2005-08-29 00:00:00+02:00,71.5,,,,,complete,,,,,
,S100992,Payment,2005-09-09 00:00:00+02:00,,,,,,complete,,5.6,,51.6,
559,P716,Create Fine,2011-06-21 00:00:00+02:00,24,7,NIL,,,complete,,,0,0,A
,P716,Send Fine,2011-07-26 00:00:00+02:00,,,,15,,complete,,,,,
,P716,Insert Fine Notification,2011-10-13 00:00:00+02:00,,,,,P,complete,P,,,,
,P716,Add penalty,2011-12-12 00:00:00+01:00,47,,,,,complete,,,,,
,P716,Send for Credit Collection,2013-04-24 00:00:00+02:00,,,,,,complete,,,,,
57,C18200,Create Fine,2005-09-17 00:00:00+02:00,143,80,NIL,,,complete,,,0,0,A
,C18200,Send Fine,2005-09-17 00:00:00+02:00,,,,0,,complete,,,,,
,C18200,Insert Fine Notification,2005-09-17 00:00:00+02:00,,,,,C,complete,P,,,,
,C18200,Add penalty,2005-11-16 00:00:00+01:00,286.5,,,,,complete,,,,,
,C18200,Send for Credit Collection,2007-02-28 00:00:00+01:00,,,,,,complete,,,,,
541,N62843,Create Fine,2004-08-27 00:00:00+02:00,33.6,157,NIL,,,complete,,,0,0,A
,N62843,Send Fine,2004-12-24 00:00:00+01:00,,,,11,,complete,,,,,
,N62843,Insert Fine Notification,2005-01-08 00:00:00+01:00,,,,,P,complete,P,,,,
,N62843,Payment,2005-01-18 00:00:00+01:00,,,,,,complete,,33.6,,33.6,
,N62843,Add penalty,2005-03-09 00:00:00+01:00,68.77,,,,,complete,,,,,
,N62843,Payment,2005-06-24 00:00:00+02:00,,,,,,complete,,11,,44.6,
45,S82710,Create Fine,2003-08-03 00:00:00+02:00,33.6,7,NIL,,,complete,,,0,0,A
,S82710,Send Fine,2003-11-03 00:00:00+01:00,,,,10,,complete,,,,,
,S82710,Insert Fine Notification,2003-11-13 00:00:00+01:00,,,,,N,complete,P,,,,
,S82710,Add penalty,2004-01-12 00:00:00+01:00,68.77,,,,,complete,,,,,
,S82710,Send for Credit Collection,2004-12-25 00:00:00+01:00,,,,,,complete,,,,,
825,S72997,Create Fine,2002-07-17 00:00:00+02:00,32,7,NIL,,,complete,,,0,0,A
,S72997,Send Fine,2002-09-05 00:00:00+02:00,,,,10,,complete,,,,,
,S72997,Payment,2002-09-13 00:00:00+02:00,,,,,,complete,,42,,42,
541,N68169,Create Fine,2004-12-03 00:00:00+01:00,33.6,157,NIL,,,complete,,,0,0,A
,N68169,Payment,2004-12-09 00:00:00+01:00,,,,,,complete,,33.6,,33.6,
565,A34570,Create Fine,2008-07-26 00:00:00+02:00,36,157,NIL,,,complete,,,0,0,A
,A34570,Payment,2008-08-04 00:00:00+02:00,,,,,,complete,,36,,36,
554,N61259,Create Fine,2004-08-08 00:00:00+02:00,33.6,157,NIL,,,complete,,,0,0,A
,N61259,Send Fine,2004-12-17 00:00:00+01:00,,,,16.6,,complete,,,,,
,N61259,Payment,2005-01-11 00:00:00+01:00,,,,,,complete,,44.6,,44.6,
,N61259,Insert Fine Notification,2005-01-13 00:00:00+01:00,,,,,P,complete,P,,,,
,N61259,Add penalty,2005-03-14 00:00:00+01:00,68.77,,,,,complete,,,,,
,N61259,Payment,2005-04-04 00:00:00+02:00,,,,,,complete,,5.6,,50.2,
45,S114544,Create Fine,2006-08-12 00:00:00+02:00,71,158,NIL,,,complete,,,0,0,A
,S114544,Payment,2006-08-21 00:00:00+02:00,,,,,,complete,,71,,71,
35,V10961,Create Fine,2003-02-25 00:00:00+01:00,137.55,142,NIL,,,complete,,,0,0,A
,V10961,Send Fine,2003-05-20 00:00:00+02:00,,,,10,,complete,,,,,
541,N98851,Create Fine,2006-06-25 00:00:00+02:00,35,157,NIL,,,complete,,,0,0,A
,N98851,Payment,2006-06-28 00:00:00+02:00,,,,,,complete,,35,,35,
548,N32179,Create Fine,2001-03-12 00:00:00+01:00,32.8,157,NIL,,,complete,,,0,0,A
,N32179,Send Fine,2001-06-07 00:00:00+02:00,,,,6.71,,complete,,,,,
,N32179,Insert Fine Notification,2001-06-28 00:00:00+02:00,,,,,N,complete,P,,,,
,N32179,Add penalty,2001-08-27 00:00:00+02:00,65.6,,,,,complete,,,,,
,N32179,Send for Credit Collection,2003-01-10 00:00:00+01:00,,,,,,complete,,,,,
537,P1616,Create Fine,2011-08-07 00:00:00+02:00,24,7,NIL,,,complete,,,0,0,A
,P1616,Send Fine,2011-10-04 00:00:00+02:00,,,,15,,complete,,,,,
,P1616,Insert Fine Notification,2011-11-24 00:00:00+01:00,,,,,P,complete,P,,,,
,P1616,Add penalty,2012-01-23 00:00:00+01:00,47,,,,,complete,,,,,
,P1616,Send for Credit Collection,2013-04-24 00:00:00+02:00,,,,,,complete,,,,,
813,S60957,Create Fine,2001-05-07 00:00:00+02:00,32.8,7,NIL,,,complete,,,0,0,A
,S60957,Payment,2001-05-10 00:00:00+02:00,,,,,,complete,,32.8,,32.8,
53,S177357,Create Fine,2011-11-15 00:00:00+01:00,39,7,NIL,,,complete,,,0,0,A
,S177357,Send Fine,2012-01-14 00:00:00+01:00,,,,15,,complete,,,,,
,S177357,Insert Fine Notification,2012-02-03 00:00:00+01:00,,,,,P,complete,P,,,,
,S177357,Add penalty,2012-04-03 00:00:00+02:00,79.5,,,,,complete,,,,,
,S177357,Send for Credit Collection,2013-04-24 00:00:00+02:00,,,,,,complete,,,,,
559,N81159,Create Fine,2005-07-21 00:00:00+02:00,35,157,NIL,,,complete,,,0,0,A
,N81159,Send Fine,2005-12-03 00:00:00+01:00,,,,14.25,,complete,,,,,
,N81159,Insert Fine Notification,2005-12-21 00:00:00+01:00,,,,,P,complete,P,,,,
,N81159,Payment,2006-02-08 00:00:00+01:00,,,,,,complete,,35,,35,
,N81159,Add penalty,2006-02-19 00:00:00+01:00,71.5,,,,,complete,,,,,
,N81159,Payment,2006-11-21 00:00:00+01:00,,,,,,complete,,14.25,,49.25,
555,N61346,Create Fine,2004-07-31 00:00:00+02:00,33.6,157,NIL,,,complete,,,0,0,A
,N61346,Send Fine,2004-12-17 00:00:00+01:00,,,,11,,complete,,,,,
,N61346,Insert Fine Notification,2005-01-21 00:00:00+01:00,,,,,P,complete,P,,,,
,N61346,Add penalty,2005-03-22 00:00:00+01:00,68.77,,,,,complete,,,,,
,N61346,Send for Credit Collection,2006-02-28 00:00:00+01:00,,,,,,complete,,,,,
58,S132979,Create Fine,2009-03-11 00:00:00+01:00,38,7,NIL,,,complete,,,0,0,A
,S132979,Payment,2009-03-25 00:00:00+01:00,,,,,,complete,,38,,38,
852,S168952,Create Fine,2011-06-09 00:00:00+02:00,39,7,NIL,,,complete,,,0,0,A
,S168952,Send Fine,2011-07-26 00:00:00+02:00,,,,15,,complete,,,,,
,S168952,Insert Fine Notification,2011-10-02 00:00:00+02:00,,,,,P,complete,P,,,,
,S168952,Add penalty,2011-12-01 00:00:00+01:00,79.5,,,,,complete,,,,,
,S168952,Send for Credit Collection,2013-04-24 00:00:00+02:00,,,,,,complete,,,,,
538,N73576,Create Fine,2005-09-22 00:00:00+02:00,21,7,NIL,,,complete,,,0,0,A
,N73576,Send Fine,2005-12-22 00:00:00+01:00,,,,14.25,,complete,,,,,
,N73576,Insert Fine Notification,2006-01-23 00:00:00+01:00,,,,,P,complete,P,,,,
,N73576,Add penalty,2006-03-24 00:00:00+01:00,42.5,,,,,complete,,,,,
,N73576,Send for Credit Collection,2007-02-28 00:00:00+01:00,,,,,,complete,,,,,
24,S163863,Create Fine,2012-03-16 00:00:00+01:00,39,7,NIL,,,complete,,,0,0,A
,S163863,Send Fine,2012-04-16 00:00:00+02:00,,,,15,,complete,,,,,
,S163863,Insert Fine Notification,2012-04-26 00:00:00+02:00,,,,,P,complete,P,,,,
,S163863,Add penalty,2012-06-25 00:00:00+02:00,79.5,,,,,complete,,,,,
,S163863,Payment,2012-06-26 00:00:00+02:00,,,,,,complete,,54,,54,
49,S125897,Create Fine,2008-07-28 00:00:00+02:00,36,7,NIL,,,complete,,,0,0,A
,S125897,Payment,2008-09-12 00:00:00+02:00,,,,,,complete,,36,,36,
32,S84154,Create Fine,2003-08-15 00:00:00+02:00,68.25,158,NIL,,,complete,,,0,0,A
,S84154,Send Fine,2003-11-10 00:00:00+01:00,,,,10,,complete,,,,,
824,S111357,Create Fine,2006-05-05 00:00:00+02:00,35,157,NIL,,,complete,,,0,0,A
,S111357,Payment,2006-05-05 00:00:00+02:00,,,,,,complete,,35,,35,
63,S181181,Create Fine,2012-07-03 00:00:00+02:00,39,157,NIL,,,complete,,,0,0,A
,S181181,Send Fine,2012-09-07 00:00:00+02:00,,,,15,,complete,,,,,
,S181181,Insert Fine Notification,2012-09-17 00:00:00+02:00,,,,,P,complete,P,,,,
,S181181,Add penalty,2012-11-16 00:00:00+01:00,79.5,,,,,complete,,,,,
,S181181,Payment,2013-01-15 00:00:00+01:00,,,,,,complete,,94.5,,94.5,
538,N57174,Create Fine,2004-07-05 00:00:00+02:00,33.6,157,NIL,,,complete,,,0,0,A
,N57174,Send Fine,2004-11-22 00:00:00+01:00,,,,11,,complete,,,,,
555,N57933,Create Fine,2004-07-12 00:00:00+02:00,33.6,157,NIL,,,complete,,,0,0,A
,N57933,Send Fine,2004-11-23 00:00:00+01:00,,,,11,,complete,,,,,
,N57933,Insert Fine Notification,2004-11-30 00:00:00+01:00,,,,,P,complete,P,,,,
,N57933,Payment,2004-12-13 00:00:00+01:00,,,,,,complete,,33.6,,33.6,
,N57933,Add penalty,2005-01-29 00:00:00+01:00,68.77,,,,,complete,,,,,
,N57933,Payment,2005-06-21 00:00:00+02:00,,,,,,complete,,11,,44.6,
25,V9832,Create Fine,2002-08-27 00:00:00+02:00,32,142,NIL,,,complete,,,0,0,A
,V9832,Send Fine,2002-10-25 00:00:00+02:00,,,,10,,complete,,,,,
,V9832,Insert Fine Notification,2002-10-31 00:00:00+01:00,,,,,N,complete,P,,,,
,V9832,Add penalty,2002-12-30 00:00:00+01:00,65.5,,,,,complete,,,,,
,V9832,Send for Credit Collection,2004-01-10 00:00:00+01:00,,,,,,complete,,,,,
704,S58927,Create Fine,2001-02-08 00:00:00+01:00,32.8,157,NIL,,,complete,,,0,0,A
,S58927,Send Fine,2001-07-04 00:00:00+02:00,,,,17.04,,complete,,,,,
,S58927,Insert Fine Notification,2001-07-30 00:00:00+02:00,,,,,N,complete,P,,,,
,S58927,Add penalty,2001-09-28 00:00:00+02:00,65.6,,,,,complete,,,,,
,S58927,Send for Credit Collection,2003-01-10 00:00:00+01:00,,,,,,complete,,,,,
29,V18195,Create Fine,2008-12-23 00:00:00+01:00,148,142,NIL,,,complete,,,5,0,A
,V18195,Send Fine,2009-05-12 00:00:00+02:00,,,,26,,complete,,,,,
,V18195,Insert Fine Notification,2009-05-20 00:00:00+02:00,,,,,P,complete,P,,,,
,V18195,Insert Date Appeal to Prefecture,2009-06-22 00:00:00+02:00,,,,,,complete,,,,,
,V18195,Add penalty,2009-07-19 00:00:00+02:00,297,,,,,complete,,,,,
,V18195,Send Appeal to Prefecture,2009-08-10 00:00:00+02:00,,,NIL,,,complete,,,,,
,V18195,Receive Result Appeal from Prefecture,2009-10-08 00:00:00+02:00,,,,,,complete,,,,,
,V18195,Notify Result Appeal to Offender,2009-10-12 00:00:00+02:00,,,,,,complete,,,,,
,V18195,Payment,2009-10-29 00:00:00+01:00,,,,,,complete,,174,,174,
552,N74729,Create Fine,2005-05-30 00:00:00+02:00,35,157,NIL,,,complete,,,0,0,A
,N74729,Send Fine,2005-09-21 00:00:00+02:00,,,,14.25,,complete,,,,,
,N74729,Insert Fine Notification,2005-09-30 00:00:00+02:00,,,,,P,complete,P,,,,
,N74729,Add penalty,2005-11-29 00:00:00+01:00,71.5,,,,,complete,,,,,
,N74729,Payment,2005-12-05 00:00:00+01:00,,,,,,complete,,49.25,,49.25,
,N74729,Payment,2006-01-10 00:00:00+01:00,,,,,,complete,,36.5,,85.75,
560,N98199,Create Fine,2006-06-06 00:00:00+02:00,35,157,NIL,,,complete,,,0,0,A
,N98199,Payment,2006-06-15 00:00:00+02:00,,,,,,complete,,35,,35,
541,A43990,Create Fine,2009-08-11 00:00:00+02:00,38,157,NIL,,,complete,,,0,0,A
,A43990,Send Fine,2009-12-17 00:00:00+01:00,,,,13.5,,complete,,,,,
,A43990,Insert Fine Notification,2009-12-28 00:00:00+01:00,,,,,P,complete,P,,,,
,A43990,Add penalty,2010-02-26 00:00:00+01:00,77.5,,,,,complete,,,,,
,A43990,Send for Credit Collection,2012-03-26 00:00:00+02:00,,,,,,complete,,,,,
53,S115977,Create Fine,2006-09-01 00:00:00+02:00,71,158,NIL,,,complete,,,0,0,A
,S115977,Send Fine,2006-12-15 00:00:00+01:00,,,,11,,complete,,,,,
,S115977,Insert Fine Notification,2006-12-30 00:00:00+01:00,,,,,P,complete,P,,,,
,S115977,Add penalty,2007-02-28 00:00:00+01:00,143,,,,,complete,,,,,
,S115977,Payment,2007-04-18 00:00:00+02:00,,,,,,complete,,82,,82,
,S115977,Payment,2007-05-26 00:00:00+02:00,,,,,,complete,,72,,154,
834,S63516,Create Fine,2001-07-01 00:00:00+02:00,32.8,7,NIL,,,complete,,,0,0,A
,S63516,Send Fine,2001-08-27 00:00:00+02:00,,,,6.71,,complete,,,,,
,S63516,Insert Fine Notification,2001-09-14 00:00:00+02:00,,,,,N,complete,P,,,,
,S63516,Add penalty,2001-11-13 00:00:00+01:00,65.6,,,,,complete,,,,,
,S63516,Send for Credit Collection,2003-01-10 00:00:00+01:00,,,,,,complete,,,,,
558,A10466,Create Fine,2007-03-19 00:00:00+01:00,36,157,NIL,,,complete,,,0,0,A
,A10466,Send Fine,2007-07-17 00:00:00+02:00,,,,13,,complete,,,,,
,A10466,Insert Fine Notification,2007-07-25 00:00:00+02:00,,,,,P,complete,P,,,,
,A10466,Add penalty,2007-09-23 00:00:00+02:00,74,,,,,complete,,,,,
,A10466,Send for Credit Collection,2009-03-30 00:00:00+02:00,,,,,,complete,,,,,
538,P990,Create Fine,2011-07-16 00:00:00+02:00,24,7,NIL,,,complete,,,0,0,A
,P990,Send Fine,2011-09-09 00:00:00+02:00,,,,15,,complete,,,,,
,P990,Insert Fine Notification,2011-09-23 00:00:00+02:00,,,,,P,complete,P,,,,
,P990,Add penalty,2011-11-22 00:00:00+01:00,47,,,,,complete,,,,,
,P990,Payment,2011-12-31 00:00:00+01:00,,,,,,complete,,39,,39,
,P990,Payment,2012-11-07 00:00:00+01:00,,,,,,complete,,23,,62,
556,N58044,Create Fine,2004-07-10 00:00:00+02:00,33.6,157,NIL,,,complete,,,0,0,A
,N58044,Send Fine,2004-11-23 00:00:00+01:00,,,,16.6,,complete,,,,,
,N58044,Insert Fine Notification,2004-12-16 00:00:00+01:00,,,,,P,complete,P,,,,
,N58044,Add penalty,2005-02-14 00:00:00+01:00,68.77,,,,,complete,,,,,
,N58044,Send for Credit Collection,2006-02-28 00:00:00+01:00,,,,,,complete,,,,,
33,S45359,Create Fine,2000-03-15 00:00:00+01:00,31.3,157,NIL,,,complete,,,0,0,A
,S45359,Send Fine,2000-04-16 00:00:00+02:00,,,,6.46,,complete,,,,,
,S45359,Insert Fine Notification,2000-05-25 00:00:00+02:00,,,,,N,complete,P,,,,
,S45359,Add penalty,2000-07-24 00:00:00+02:00,62.59,,,,,complete,,,,,
,S45359,Send for Credit Collection,2002-04-10 00:00:00+02:00,,,,,,complete,,,,,
562,A16409,Create Fine,2007-06-20 00:00:00+02:00,36,158,NIL,,,complete,,,0,0,A
,A16409,Send Fine,2007-08-22 00:00:00+02:00,,,,13,,complete,,,,,
,A16409,Insert Fine Notification,2007-08-30 00:00:00+02:00,,,,,P,complete,P,,,,
,A16409,Add penalty,2007-10-29 00:00:00+01:00,74,,,,,complete,,,,,
,A16409,Send for Credit Collection,2009-03-30 00:00:00+02:00,,,,,,complete,,,,,
30,V5222,Create Fine,2000-06-10 00:00:00+02:00,125.19,142,NIL,,,complete,,,0,0,A
,V5222,Send Fine,2000-07-27 00:00:00+02:00,,,,11.41,,complete,,,,,
,V5222,Insert Fine Notification,2000-09-20 00:00:00+02:00,,,,,N,complete,P,,,,
,V5222,Add penalty,2000-11-19 00:00:00+01:00,250.38,,,,,complete,,,,,
,V5222,Send for Credit Collection,2002-04-10 00:00:00+02:00,,,,,,complete,,,,,
40,C18702,Create Fine,2006-07-14 00:00:00+02:00,138,146,NIL,,,complete,,,6,0,A
,C18702,Send Fine,2006-07-14 00:00:00+02:00,,,,0,,complete,,,,,
,C18702,Insert Fine Notification,2006-07-14 00:00:00+02:00,,,,,C,complete,P,,,,
,C18702,Add penalty,2006-09-12 00:00:00+02:00,275,,,,,complete,,,,,
,C18702,Payment,2007-05-08 00:00:00+02:00,,,,,,complete,,275,,275,
58,S93300,Create Fine,2004-07-10 00:00:00+02:00,33.6,7,NIL,,,complete,,,0,0,A
,S93300,Send Fine,2004-11-10 00:00:00+01:00,,,,11,,complete,,,,,
,S93300,Insert Fine Notification,2004-11-18 00:00:00+01:00,,,,,P,complete,P,,,,
,S93300,Add penalty,2005-01-17 00:00:00+01:00,68.77,,,,,complete,,,,,
,S93300,Send for Credit Collection,2006-02-28 00:00:00+01:00,,,,,,complete,,,,,
557,N76661,Create Fine,2005-07-10 00:00:00+02:00,35,157,NIL,,,complete,,,0,0,A
,N76661,Send Fine,2005-12-02 00:00:00+01:00,,,,11,,complete,,,,,
541,A182,Create Fine,2006-08-06 00:00:00+02:00,35,7,NIL,,,complete,,,0,0,A
,A182,Send Fine,2006-12-13 00:00:00+01:00,,,,11,,complete,,,,,
,A182,Insert Fine Notification,2007-01-05 00:00:00+01:00,,,,,P,complete,P,,,,
,A182,Add penalty,2007-03-06 00:00:00+01:00,71.5,,,,,complete,,,,,
,A182,Payment,2007-11-19 00:00:00+01:00,,,,,,complete,,82.5,,82.5,
63,C22944,Create Fine,2012-04-21 00:00:00+02:00,39,7,NIL,,,complete,,,0,0,A
,C22944,Send Fine,2012-04-21 00:00:00+02:00,,,,0,,complete,,,,,
,C22944,Insert Fine Notification,2012-04-21 00:00:00+02:00,,,,,C,complete,P,,,,
,C22944,Add penalty,2012-06-20 00:00:00+02:00,79.5,,,,,complete,,,,,
,C22944,Payment,2012-10-23 00:00:00+02:00,,,,,,complete,,79.5,,79.5,
537,N91722,Create Fine,2006-04-18 00:00:00+02:00,21,7,NIL,,,complete,,,0,0,A
,N91722,Send Fine,2006-08-17 00:00:00+02:00,,,,11,,complete,,,,,
,N91722,Insert Fine Notification,2006-08-25 00:00:00+02:00,,,,,P,complete,P,,,,
,N91722,Add penalty,2006-10-24 00:00:00+02:00,42.5,,,,,complete,,,,,
,N91722,Payment,2007-11-28 00:00:00+01:00,,,,,,complete,,53.5,,53.5,
848,S173060,Create Fine,2011-08-25 00:00:00+02:00,80,158,NIL,,,complete,,,0,0,A
,S173060,Send Fine,2011-10-24 00:00:00+02:00,,,,15,,complete,,,,,
,S173060,Insert Fine Notification,2011-11-21 00:00:00+01:00,,,,,P,complete,P,,,,
,S173060,Add penalty,2012-01-20 00:00:00+01:00,159,,,,,complete,,,,,
,S173060,Payment,2012-11-29 00:00:00+01:00,,,,,,complete,,174,,174,
821,S75551,Create Fine,2002-07-21 00:00:00+02:00,32,158,NIL,,,complete,,,0,0,A
,S75551,Send Fine,2002-09-05 00:00:00+02:00,,,,15.16,,complete,,,,,
,S75551,Insert Fine Notification,2002-09-20 00:00:00+02:00,,,,,N,complete,P,,,,
,S75551,Add penalty,2002-11-19 00:00:00+01:00,65.5,,,,,complete,,,,,
,S75551,Send for Credit Collection,2004-01-10 00:00:00+01:00,,,,,,complete,,,,,
30,V11342,Create Fine,2003-04-01 00:00:00+02:00,137.55,142,NIL,,,complete,,,0,0,A
,V11342,Send Fine,2003-05-20 00:00:00+02:00,,,,10,,complete,,,,,
558,N79305,Create Fine,2005-04-07 00:00:00+02:00,35,157,NIL,,,complete,,,0,0,A
,N79305,Payment,2005-04-12 00:00:00+02:00,,,,,,complete,,35,,35,
49,S139983,Create Fine,2009-07-11 00:00:00+02:00,38,7,NIL,,,complete,,,0,0,A
,S139983,Payment,2009-07-15 00:00:00+02:00,,,,,,complete,,38,,38,
26,S171178,Create Fine,2011-07-24 00:00:00+02:00,39,7,NIL,,,complete,,,0,0,A
,S171178,Payment,2011-07-24 00:00:00+02:00,,,,,,complete,,39,,39,
